list-none-s,4,1000,1,12000,118170408,9847,86989734
list-none-s,4,1000,4,12000,25094143,2091,10146505
list-none-s,4,1000,8,12000,11489051,957,3113699
list-none-s,4,1000,16,12000,5560142,463,1052004
list-none-s,8,1000,1,24000,460563328,19190,393267750
list-none-s,8,1000,4,24000,50215240,2092,30697699
list-none-s,8,1000,8,24000,20118537,838,8484228
list-none-s,8,1000,16,24000,9539383,397,2590492
list-none-s,12,1000,1,36000,596784704,16577,387340967
list-none-s,12,1000,4,36000,101099870,2808,69807064
list-none-s,12,1000,8,36000,36029369,1000,18975648
list-none-s,12,1000,16,36000,15149873,420,5152704
