add-c,4,20,160,109000,681,0
add-c,4,40,320,89000,278,0
add-c,4,60,480,93000,193,0
add-c,4,80,640,108000,168,0
add-c,4,100,800,93000,116,0
add-c,4,1000,8000,680000,85,0
add-c,4,10000,80000,5909000,73,0
add-c,8,1,16,135000,8437,0
add-c,8,10,160,132000,825,0
add-c,8,20,320,151000,471,0
add-c,8,40,640,151000,235,0
add-c,8,60,960,148000,154,0
add-c,8,80,1280,136000,106,0
add-c,8,100,1600,186000,116,0
add-c,8,1000,16000,1275000,79,0
add-c,8,10000,160000,14431000,90,0
add-c,12,1,24,196000,8166,0
add-c,12,10,240,198000,825,0
add-c,12,20,480,206000,429,0
add-c,12,40,960,228000,237,0
add-c,12,60,1440,200000,138,0
add-c,12,80,1920,196000,102,0
add-c,12,100,2400,191000,79,0
add-c,12,1000,24000,2197000,91,0
add-c,12,10000,240000,22420000,93,0
add-yield-none,1,1,2,119000,59500,0
add-yield-none,1,10,20,150000,7500,0
add-yield-none,1,20,40,103000,2575,0
add-yield-none,1,40,80,116000,1450,0
add-yield-none,1,80,160,118000,737,0
add-yield-none,1,100,200,118000,590,0
add-yield-none,1,1000,2000,613000,306,0
add-yield-none,1,10000,20000,5935000,296,0
add-yield-none,2,1,4,79000,19750,0
add-yield-none,2,10,40,85000,2125,8
add-yield-none,2,20,80,109000,1362,0
add-yield-none,2,40,160,128000,800,0
add-yield-none,2,80,320,159000,496,0
add-yield-none,2,100,400,170000,425,0
add-yield-none,2,1000,4000,851000,212,-9
add-yield-none,2,10000,40000,6278000,156,113
add-yield-none,4,1,8,87000,10875,0
add-yield-none,4,10,80,107000,1337,6
add-yield-none,4,20,160,137000,856,0
add-yield-none,4,40,320,128000,400,6
add-yield-none,4,80,640,163000,254,-9
add-yield-none,4,100,800,157000,196,5
add-yield-none,4,1000,8000,723000,90,0
add-yield-none,4,10000,80000,6420000,80,-101
add-yield-none,8,1,16,172000,10750,1
add-yield-none,8,10,160,186000,1162,9
add-yield-none,8,20,320,290000,906,0
add-yield-none,8,40,640,270000,421,2
add-yield-none,8,80,1280,333000,260,25
add-yield-none,8,100,1600,405000,253,-22
add-yield-none,8,1000,16000,1532000,95,-86
add-yield-none,8,10000,160000,6840000,42,-160
add-yield-none,12,1,24,208000,8666,1
add-yield-none,12,10,240,207000,862,9
add-yield-none,12,20,480,231000,481,12
add-yield-none,12,40,960,541000,563,7
add-yield-none,12,80,1920,887000,461,0
add-yield-none,12,100,2400,960000,400,25
add-yield-none,12,1000,24000,10101000,420,-82
add-yield-none,12,10000,240000,87666000,365,-303
add-yield-m,1,1,2,117000,58500,0
add-yield-m,1,10,20,126000,6300,0
add-yield-m,1,20,40,123000,3075,0
add-yield-m,1,40,80,94000,1175,0
add-yield-m,1,80,160,114000,712,0
add-yield-m,1,100,200,141000,705,0
add-yield-m,1,1000,2000,680000,340,0
add-yield-m,1,10000,20000,6666000,333,0
add-yield-m,2,1,4,85000,21250,0
add-yield-m,2,10,40,101000,2525,0
add-yield-m,2,20,80,123000,1537,0
add-yield-m,2,40,160,225000,1406,0
add-yield-m,2,80,320,285000,890,0
add-yield-m,2,100,400,368000,920,0
add-yield-m,2,1000,4000,2750000,687,0
add-yield-m,2,10000,40000,27097000,677,0
add-yield-m,4,1,8,111000,13875,0
add-yield-m,4,10,80,289000,3612,0
add-yield-m,4,20,160,552000,3450,0
add-yield-m,4,40,320,1012000,3162,0
add-yield-m,4,80,640,1497000,2339,0
add-yield-m,4,100,800,1911000,2388,0
add-yield-m,4,1000,8000,19086000,2385,0
add-yield-m,4,10000,80000,184786000,2309,0
add-yield-m,8,1,16,162000,10125,0
add-yield-m,8,10,160,963000,6018,0
add-yield-m,8,20,320,876000,2737,0
add-yield-m,8,40,640,1645000,2570,0
add-yield-m,8,80,1280,3221000,2516,0
add-yield-m,8,100,1600,4075000,2546,0
add-yield-m,8,1000,16000,40517000,2532,0
add-yield-m,8,10000,160000,399183000,2494,0
add-yield-m,12,1,24,196000,8166,0
add-yield-m,12,10,240,771000,3212,0
add-yield-m,12,20,480,1394000,2904,0
add-yield-m,12,40,960,2377000,2476,0
add-yield-m,12,80,1920,4992000,2600,0
add-yield-m,12,100,2400,6286000,2619,0
add-yield-m,12,1000,24000,61956000,2581,0
add-yield-m,12,10000,240000,761153000,3171,0
add-yield-s,1,1,2,60000,30000,0
add-yield-s,1,10,20,100000,5000,0
add-yield-s,1,20,40,68000,1700,0
add-yield-s,1,40,80,80000,1000,0
add-yield-s,1,60,120,86000,716,0
add-yield-s,1,80,160,124000,775,0
add-yield-s,1,100,200,132000,660,0
add-yield-s,1,1000,2000,713000,356,0
add-yield-s,1,10000,20000,5607000,280,0
add-yield-s,2,1,4,87000,21750,0
add-yield-s,2,10,40,98000,2450,0
add-yield-s,2,20,80,119000,1487,0
add-yield-s,2,40,160,131000,818,0
add-yield-s,2,60,240,153000,637,0
add-yield-s,2,80,320,175000,546,0
add-yield-s,2,100,400,245000,612,0
add-yield-s,2,1000,4000,1297000,324,0
add-yield-s,2,10000,40000,12104000,302,0
add-yield-s,4,1,8,139000,17375,0
add-yield-s,4,10,80,189000,2362,0
add-yield-s,4,20,160,183000,1143,0
add-yield-s,4,40,320,306000,956,0
add-yield-s,4,60,480,319000,664,0
add-yield-s,4,80,640,349000,545,0
add-yield-s,4,100,800,452000,565,0
add-yield-s,4,1000,8000,2970000,371,0
